Bus,ZoneBus,Xcoord,Ycoord,Country,lat_known,lon_known,lat_pred,lon_pred
F-300,FR,164.00999451,159.05250549,F,,,43.502876733505,1.72257557969391
F-299,FR,364.20001221,162.99750137,F,,,43.4446849964901,5.45841799719827
F_Vigy,FR,376.36999512,543.26998901,F,49.1977111111111,6.27718611111111,49.1761681367921,6.29180309550166
F-298,FR,152.99000549,163.19249725,F,,,43.572794338767,1.51789197584091
F-297,FR,340.77999878,163.55250549,F,,,43.4669551187358,5.02222713252263
F-38,FR,363.72000122,543.38250732,F,,,49.1903432810617,6.02493626798421
F-296,FR,231.28999329,164.37000275,F,,,43.5443399925815,2.97961304788149
F-295,FR,259.16000366,169.23749542,F,,,43.601836262113,3.50391337819363
F-37,FR,136.6499939,544.36500549,F,,,49.4293811441055,1.23144865031249
F-294,FR,273.39001465,170.37749863,F,,,43.6106397646933,3.77103664334535
F-293,FR,418.17001343,171.1724968,F,,,43.5357279623061,6.48057772249525
F-36,FR,235.3500061,546.57751465,F,,,49.3656415512566,3.31718470733557
F-292,FR,144.88000488,172.13249588,F,,,43.714657122545,1.36747995623974
F-291,FR,350.92999268,173.2650032,F,,,43.607763595551,5.22552500333104
F-35,FR,205.1000061,547.41000366,F,,,49.4082890232921,2.67838001577174
F-290,FR,292.44000244,175.30500412,F,,,43.6739981757109,4.13254936609002
F-289,FR,48.86000061,176.36249542,F,,,43.8377177221018,-0.431817948047299
F-34,FR,1.72000003,551.54251099,F,,,49.6737051555678,-1.62372947791453
F-288,FR,365.79000854,177.81000137,F,,,43.6674408338437,5.51068981638224
F-287,FR,388.07998657,178.44749451,F,,,43.6635069232105,5.92974915876925
F-33,FR,212.27999878,551.88748169,F,,,49.4695077004976,2.8325394997866
F-286,FR,405.42001343,183.62999725,F,,,43.7310104297904,6.26422509597594
F-285,FR,306.25,183.62999725,F,,,43.7918780860567,4.4008083390015
F-32,FR,86.66000366,554.65498352,F,,,49.6371122269238,0.173003947036501
F_canteg,FR,23.22999954,187.1099968,F,44.0128111111,-0.887497222222,44.019376862152,-0.919549674639699
F-283,FR,335.54998779,187.54499817,F,,,43.8331413960896,4.95657031244758
F-31,FR,194.8500061,556.08000183,F,,,49.5509104869765,2.46540604090876
F-282,FR,383.69000244,187.79999542,F,,,43.8072455127079,5.86276127901713
F-281,FR,186.92473386,189.13499451,F,,,43.9492724048633,2.16072313447675
F-30,FR,103.45999908,556.65000916,F,,,49.6510164705526,0.528549138320455
F-280,FR,451.3500061,189.89250183,F,,,43.7968411236261,7.1402691142765
