Generator,GeneratorType,BusGenerator,Capacity,FixedCost,VariableCost,Technology,Country
BNA1028,SLOW,D_Siersd,656.0,101500.0,19.37,Lignite,DE
BNA1097,SLOW,D-136,19.5,101500.0,19.19,Lignite,DE
BNA1141,SLOW,D-137,14.5,101500.0,19.16,Lignite,DE
BNA1164,SLOW,D_Siersd,23.22,101500.0,19.39,Lignite,DE
BNA1185,SLOW,D-79,20.3,101500.0,19.11,Lignite,DE
BNA1293a,SLOW,D_Rommer,10.0,101500.0,19.76,Lignite,DE
BNA1293b,SLOW,D_Rommer,10.0,101500.0,19.81,Lignite,DE
BNA1400a,SLOW,D-114,23.3,101500.0,19.29,Lignite,DE
BNA1401a,SLOW,D-126,1060.0,101500.0,38.62,Lignite,DE
BNA1401b,SLOW,D-126,1060.0,101500.0,39.27,Lignite,DE
BNA1404,SLOW,D-83,640.0,101500.0,38.9,Lignite,DE
BNA1451,SLOW,D-109,27.5,101500.0,19.6,Lignite,DE
BNA1486,SLOW,D-85,45.0,101500.0,19.7,Lignite,DE
BNA1511a,SLOW,D-136,9.3,101500.0,20.09,Lignite,DE
BNA1864,SLOW,D-65,9.5,9333.0,144.38,Oil,DE
BNA1865,SLOW,D-65,9.8,9333.0,150.96,Oil,DE
BNA0059b,SLOW,D-112,78.0,16500.0,45.27,CCGT,DE
BNA0073,SLOW,D-47,444.0,16500.0,42.05,CCGT,DE
BNA0088a,SLOW,D-79,140.5,16500.0,46.97,CCGT,DE
BNA0100,SLOW,D-72,37.5,16500.0,42.91,CCGT,DE
BNA0105,SLOW,D-85,106.0,16500.0,46.15,CCGT,DE
BNA0130,FAST,D-45,160.0,16500.0,65.84,CCGT,DE
BNA0135,SLOW,D-55,20.0,16500.0,44.16,CCGT,DE
BNA0136,SLOW,D-55,74.0,16500.0,43.69,CCGT,DE
BNA0172a,SLOW,D_233,120.0,16500.0,44.22,CCGT,DE
BNA0199,SLOW,D-123,586.0,16500.0,44.9,CCGT,DE
BNA0207,SLOW,D-94,260.0,16500.0,44.59,CCGT,DE
BNA0214,SLOW,D-109,234.0,16500.0,44.82,CCGT,DE
BNA0220,SLOW,D-126,100.0,16500.0,43.17,CCGT,DE
BNA0256a,SLOW,D-118,76.5,16500.0,44.53,CCGT,DE
BNA0256b,SLOW,D-118,32.6,16500.0,44.95,CCGT,DE
BNA0261a,SLOW,D-174,21.6,16500.0,44.88,CCGT,DE
BNA0261c,SLOW,D-174,6.7,16500.0,45.21,CCGT,DE
BNA0284,SLOW,D-46,48.0,16500.0,43.72,CCGT,DE
BNA0293,SLOW,D_Eichst,38.6,16500.0,44.18,CCGT,DE
BNA0392b,SLOW,D-85,56.1,16500.0,44.77,CCGT,DE
BNA0400,SLOW,D-23,127.0,16500.0,46.38,CCGT,DE
BNA0410,FAST,D-88,407.0,16500.0,62.92,CCGT,DE
BNA0411,FAST,D-88,410.0,16500.0,64.54,CCGT,DE
BNA0418,SLOW,D-60,230.0,16500.0,43.41,CCGT,DE
BNA0442,FAST,D-108,417.0,16500.0,62.95,CCGT,DE
BNA0444,SLOW,D-124,69.0,16500.0,42.71,CCGT,DE
BNA0504,SLOW,D-129,182.0,16500.0,44.6,CCGT,DE
BNA0514,FAST,D-192,353.0,16500.0,64.34,CCGT,DE
BNA0531,FAST,D-72,125.0,16500.0,61.97,CCGT,DE
BNA0545,SLOW,D-123,413.0,16500.0,46.42,CCGT,DE
BNA0546,SLOW,D-123,108.0,16500.0,41.22,CCGT,DE
BNA0548a,FAST,D-137,800.0,16500.0,65.13,CCGT,DE
BNA0548b,FAST,D-137,430.0,16500.0,65.66,CCGT,DE
BNA0588,SLOW,D-99,167.0,16500.0,46.53,CCGT,DE
BNA0592,FAST,D-85,39.0,16500.0,67.02,CCGT,DE
BNA0593,SLOW,D-85,35.0,16500.0,45.54,CCGT,DE
BNA0594,SLOW,D-85,35.0,16500.0,43.85,CCGT,DE
BNA0595,SLOW,D-85,37.0,16500.0,46.19,CCGT,DE
BNA0602,SLOW,D-56,116.0,16500.0,44.5,CCGT,DE
BNA0603,SLOW,D-56,116.0,16500.0,43.3,CCGT,DE
BNA0604,SLOW,D-56,359.0,16500.0,42.58,CCGT,DE
BNA0605,SLOW,D-56,359.0,16500.0,43.85,CCGT,DE
BNA0606,SLOW,D-56,887.0,16500.0,44.17,CCGT,DE
BNA0614b,SLOW,D-177,497.5,16500.0,43.88,CCGT,DE
BNA0615,SLOW,D-177,410.0,16500.0,46.88,CCGT,DE
BNA0626,SLOW,D-155,434.2,16500.0,44.97,CCGT,DE
BNA0627,SLOW,D-155,335.0,16500.0,44.89,CCGT,DE
BNA0658,SLOW,D-95,61.13,16500.0,42.62,CCGT,DE
BNA0659,SLOW,D-95,77.57,16500.0,44.54,CCGT,DE
BNA0683a,SLOW,D-214,79.7,16500.0,44.48,CCGT,DE
BNA0683b,SLOW,D-214,97.9,16500.0,47.59,CCGT,DE
BNA0683c,SLOW,D-214,97.9,16500.0,43.04,CCGT,DE
BNA0684a,SLOW,D-214,124.9,16500.0,44.54,CCGT,DE
BNA0684b,SLOW,D-214,123.9,16500.0,45.67,CCGT,DE
BNA0684c,SLOW,D-214,127.6,16500.0,42.94,CCGT,DE
BNA0685,SLOW,D-76,104.14,16500.0,42.12,CCGT,DE
BNA0688,SLOW,D-8,75.0,16500.0,42.68,CCGT,DE
BNA0742,SLOW,D-174,75.0,16500.0,43.0,CCGT,DE
BNA0743,SLOW,D-174,75.0,16500.0,46.29,CCGT,DE
BNA0744,FAST,D-174,383.0,16500.0,65.63,CCGT,DE
BNA0745,FAST,D-174,440.0,16500.0,66.17,CCGT,DE
BNA0755a,SLOW,D-159,40.0,16500.0,45.13,CCGT,DE
BNA0755b,SLOW,D-159,60.0,16500.0,46.15,CCGT,DE
BNA0800,SLOW,D-199,41.2,16500.0,43.85,CCGT,DE
BNA0805,SLOW,D-231,118.5,16500.0,45.83,CCGT,DE
BNA0848,SLOW,D-7,108.0,16500.0,45.64,CCGT,DE
BNA0857,SLOW,D-155,112.1,16500.0,45.07,CCGT,DE
BNA0861a,SLOW,D_185,75.0,16500.0,44.43,CCGT,DE
BNA0893,SLOW,D-82,122.0,16500.0,44.5,CCGT,DE
BNA0918b,SLOW,D-18,157.0,16500.0,44.49,CCGT,DE
BNA0922,SLOW,D-79,100.0,16500.0,45.68,CCGT,DE
BNA0994,FAST,D-190,846.0,16500.0,64.48,CCGT,DE
BNA0995,FAST,D-190,561.0,16500.0,62.94,CCGT,DE
BNA1039,FAST,D-88,55.0,16500.0,65.8,CCGT,DE
BNA1040,FAST,D-88,55.0,16500.0,61.63,CCGT,DE
BNA1044,FAST,D-88,355.0,16500.0,66.85,CCGT,DE
BNA1045,FAST,D-88,355.0,16500.0,62.43,CCGT,DE
BNA1082,SLOW,D-110,88.019,16500.0,43.74,CCGT,DE
BNA1183,SLOW,D-123,15.8,16500.0,43.41,CCGT,DE
BNA1196b,SLOW,D-177,11.96,16500.0,45.54,CCGT,DE
BNA1329,SLOW,D-113,13.11,16500.0,42.35,CCGT,DE
BNA1334,SLOW,D-31,14.8,16500.0,43.23,CCGT,DE
BNA1337e,SLOW,D-159,47.0,16500.0,46.05,CCGT,DE
BNA1450,SLOW,D-53,13.0,16500.0,43.41,CCGT,DE
BNA1523a,SLOW,D-144,11.4,16500.0,45.6,CCGT,DE
BNA1523b,SLOW,D-144,27.4,16500.0,42.24,CCGT,DE
BNA1817,SLOW,D-126,595.0,16500.0,45.39,CCGT,DE
BNA1819,SLOW,D-1,78.0,16500.0,44.94,CCGT,DE
BNA1820,FAST,D-31,444.5,16500.0,63.91,CCGT,DE
BNA0556b,SLOW,D-109,14.0,9333.0,90.54,OCGT,DE
BNA0832,SLOW,D-208,9.84,9333.0,89.52,OCGT,DE
BNA0842a,SLOW,D-216,9.81,9333.0,86.26,OCGT,DE
BNA0842b,SLOW,D-216,9.2,9333.0,90.12,OCGT,DE
BNA0843,SLOW,D-216,4.3,9333.0,86.69,OCGT,DE
BNA0005,FAST,D-35,37.5,9333.0,106.55,OCGT,DE
BNA0006,FAST,D-35,37.5,9333.0,108.29,OCGT,DE
BNA0007,FAST,D-35,37.5,9333.0,109.08,OCGT,DE
BNA0008,FAST,D-35,37.5,9333.0,109.21,OCGT,DE
BNA0015,SLOW,D-203,65.0,9333.0,90.64,OCGT,DE
BNA0016,FAST,D-203,50.0,9333.0,108.58,OCGT,DE
BNA0017,FAST,D-203,57.0,9333.0,104.95,OCGT,DE
BNA0018,FAST,D-203,81.0,9333.0,107.21,OCGT,DE
BNA0033,SLOW,D-210,30.7,9333.0,89.58,OCGT,DE
BNA0137,SLOW,D-55,25.0,9333.0,89.09,OCGT,DE
BNA0156b,SLOW,D-97,13.5,9333.0,85.78,OCGT,DE
BNA0221a,FAST,D-126,64.7,9333.0,109.93,OCGT,DE
BNA0221b,FAST,D-126,66.7,9333.0,110.74,OCGT,DE
BNA0239,FAST,D-31,321.0,9333.0,109.5,OCGT,DE
BNA0360,SLOW,D-8,14.7,9333.0,86.94,OCGT,DE
BNA0574a,FAST,D-49,56.0,9333.0,102.92,OCGT,DE
BNA0614a,SLOW,D-177,47.0,9333.0,86.4,OCGT,DE
BNA0734,FAST,D-47,37.5,9333.0,107.67,OCGT,DE
BNA0738,FAST,D-47,36.5,9333.0,104.48,OCGT,DE
BNA0739,FAST,D-47,36.5,9333.0,109.91,OCGT,DE
BNA0740,FAST,D-47,36.5,9333.0,108.3,OCGT,DE
BNA0741,FAST,D-47,36.5,9333.0,105.36,OCGT,DE
BNA1023,FAST,D_Siersd,200.0,9333.0,111.06,OCGT,DE
BNA1024,FAST,D_Siersd,200.0,9333.0,100.41,OCGT,DE
BNA1046b,FAST,D-88,112.0,9333.0,104.02,OCGT,DE
BNA1087,SLOW,D-163,29.5,9333.0,85.39,OCGT,DE
BNA1088,SLOW,D-163,44.5,9333.0,82.05,OCGT,DE
BNA1120,SLOW,D-104,10.2,9333.0,87.2,OCGT,DE
BNA1125,SLOW,D-157,10.0,9333.0,87.4,OCGT,DE
BNA1279,SLOW,D-137,51.9,9333.0,87.54,OCGT,DE
BNA1437,SLOW,D-18,30.72,9333.0,92.05,OCGT,DE
BNA1444a,SLOW,D-174,4.2,9333.0,87.49,OCGT,DE
BNA1444b,SLOW,D-174,4.2,9333.0,88.16,OCGT,DE
BNA1444c,SLOW,D-174,5.1,9333.0,91.2,OCGT,DE
BNA1444d,SLOW,D-174,5.1,9333.0,85.29,OCGT,DE
BNA1487,FAST,D-157,94.6,9333.0,109.15,OCGT,DE
BNA1863,SLOW,D_185,19.5,9333.0,87.55,OCGT,DE
BNA0012b,SLOW,D-69,11.0,9333.0,87.21,OCGT,DE
BNA0025,SLOW,D-8,15.1,9333.0,88.64,OCGT,DE
BNA0051,SLOW,D-70,17.8,9333.0,86.94,OCGT,DE
BNA0074,SLOW,D-47,144.0,9333.0,88.79,OCGT,DE
BNA0081,SLOW,D-47,164.0,9333.0,87.94,OCGT,DE
BNA0098,SLOW,D-72,23.0,9333.0,86.66,OCGT,DE
BNA0101,SLOW,D-72,41.0,9333.0,87.76,OCGT,DE
BNA0111,SLOW,D-104,44.0,9333.0,87.3,OCGT,DE
BNA0117b,SLOW,D-137,95.0,9333.0,87.02,OCGT,DE
BNA0129,SLOW,D-82,36.0,9333.0,90.71,OCGT,DE
BNA0172b,SLOW,D_233,50.0,9333.0,87.13,OCGT,DE
BNA0174,SLOW,D_233,73.1,9333.0,87.03,OCGT,DE
BNA0178,SLOW,D-117,57.2,9333.0,82.75,OCGT,DE
BNA0194,SLOW,D-70,39.0,9333.0,86.35,OCGT,DE
BNA0202,SLOW,D-108,26.0,9333.0,90.57,OCGT,DE
BNA0213,SLOW,D-109,40.0,9333.0,84.43,OCGT,DE
BNA0232c,SLOW,E-211,4.0,9333.0,91.61,OCGT,DE
BNA0233,SLOW,D-92,46.6,9333.0,88.88,OCGT,DE
BNA0243,SLOW,D-151,57.0,9333.0,83.57,OCGT,DE
BNA0245b,FAST,D-29,433.0,9333.0,109.9,OCGT,DE
BNA0285,SLOW,D-153,70.0,9333.0,91.06,OCGT,DE
BNA0286,SLOW,D-153,99.0,9333.0,90.66,OCGT,DE
BNA0354,SLOW,D-96,18.8,9333.0,89.9,OCGT,DE
BNA0361,SLOW,D_kuhmoo,30.0,9333.0,87.92,OCGT,DE
BNA0374,FAST,D-152,572.0,9333.0,105.44,OCGT,DE
BNA0386,SLOW,D-78,25.0,9333.0,88.97,OCGT,DE
BNA0389,FAST,D-108,230.0,9333.0,103.13,OCGT,DE
BNA0392a,SLOW,D-85,97.0,9333.0,92.67,OCGT,DE
BNA0401,SLOW,D-23,22.5,9333.0,92.55,OCGT,DE
BNA0419,SLOW,D-60,102.0,9333.0,83.42,OCGT,DE
BNA0497,SLOW,D-153,96.5,9333.0,87.23,OCGT,DE
BNA0499,SLOW,D-153,86.0,9333.0,87.82,OCGT,DE
BNA0510a,SLOW,D-178,11.6,9333.0,88.09,OCGT,DE
BNA0515,SLOW,D-192,37.0,9333.0,89.15,OCGT,DE
BNA0521,SLOW,D-112,48.31,9333.0,90.15,OCGT,DE
BNA0527,SLOW,D-4,21.5,9333.0,89.18,OCGT,DE
BNA0556a,SLOW,D-109,25.8,9333.0,83.21,OCGT,DE
BNA0574b,FAST,D-49,431.0,9333.0,107.54,OCGT,DE
BNA0600a,SLOW,D-123,25.0,9333.0,89.94,OCGT,DE
BNA0702,SLOW,D-190,25.4,9333.0,83.47,OCGT,DE
BNA0752,SLOW,D-109,23.1,9333.0,86.91,OCGT,DE
BNA0804,SLOW,D-124,52.0,9333.0,87.55,OCGT,DE
BNA0814,SLOW,D-47,81.8,9333.0,85.86,OCGT,DE
BNA0834,SLOW,D-100,79.0,9333.0,90.29,OCGT,DE
BNA0856,SLOW,D-135,26.5,9333.0,84.61,OCGT,DE
BNA0896,SLOW,D-15,44.9,9333.0,88.89,OCGT,DE
BNA0897,SLOW,D-15,23.0,9333.0,85.92,OCGT,DE
BNA0957,SLOW,D-208,13.4,9333.0,88.35,OCGT,DE
BNA1042,FAST,D-88,55.0,9333.0,107.42,OCGT,DE
